,Title,Release date,Share of positive reviews (in %),Total number of reviews,Normal price (€),Discounted price if there is a sale (€),Sale rate (in %)
4551,Operator's Pack,,85,8605,65.14,36.24,44.0
4552,Dawn of Man,2019-03-01,85,8116,20.99,14.69,30.0
4553,The Witness,2016-01-26,85,7510,36.99,,
4554,Natural Selection 2,2012-10-30,85,7111,9.99,,
4555,Defy Gravity Extended,2011-07-25,85,6940,0.99,0.39,61.0
4556,Daedalic Artist Selection Bundle,,85,6652,126.92,29.1,77.0
4557,Tyranny -  Gold Edition,,85,6450,73.95,24.75,67.0
4558,Pillars of Eternity II: Deadfire,2018-05-08,85,6110,39.99,19.99,50.0
4559,Danganronpa V3: Killing Harmony,2017-09-25,85,5948,33.99,,
4560,Rebel Galaxy,2015-10-20,85,5867,16.79,,
4561,Assetto Corsa Competizione,2019-05-29,85,5671,39.99,,
4562,Magicite,2014-06-09,85,5216,8.19,,
4563,Daedalic Adventure Bundle II,,85,5197,79.95,26.45,67.0
4564,Tannenberg Supporter Edition,,85,4791,21.49,,
4565,Tannenberg,2017-11-16,85,4745,17.5,,
4566,Witch It,2017-05-31,85,4711,14.99,,
4567,War for the Overworld Ultimate Edition,,85,4554,56.65,,
4568,The Longest Journey Bundle,,85,4454,42.37,,
4569,Resident Evil Revelations / Biohazard Revelations,2013-05-23,85,4392,29.99,,
4570,War for the Overworld,2015-04-02,85,4449,27.99,,
4571,War for the Overworld Underlord Edition,,85,4449,35.13,,
4572,Skater XL - The Ultimate Skateboarding Game,2018-12-19,85,4256,16.79,13.43,20.0
4573,KIDS + PLUG &amp; PLAY,,85,4191,5.08,,
4574,BEEP,2011-05-06,85,4104,1.99,0.39,80.0
4575,Darksiders Genesis Digital Deluxe,,85,4021,34.94,,
4576,Darksiders Genesis,2019-12-05,85,3996,29.99,,
4577,Home Behind,2016-06-02,85,3690,5.99,,
4578,Dishonored®: Death of the Outsider™,2017-09-14,85,3667,29.99,,
4579,The Final Station Collector's Edition,,85,3585,22.47,,
4580,"Hand of Fate 2 Game, Soundtrack, and DLC",,85,3527,51.75,23.0,56.0
4581,ENSLAVED™: Odyssey to the West™ Premium Edition,2013-10-24,85,3482,19.99,,
4582,Murder Miners,2014-07-25,85,3479,2.39,,
4583,SD GUNDAM G GENERATION CROSS RAYS,2019-11-27,85,3423,49.99,,
4584,The Final Station,2016-08-30,85,3389,14.99,,
4585,Plug &amp; Play,2015-03-05,85,3372,2.99,,
4586,The Survios Collection,,85,3259,131.75,60.36,54.0
4587,Fox Hime,2017-11-02,85,3118,1.99,,
4588,Tom Clancy's Rainbow Six® Vegas 2,2008-04-16,85,3043,9.99,,
4589,Knight of Pen and Paper 1 &amp; 2 Collection,,85,3002,27.96,8.51,70.0
4590,XCOM 2: War of the Chosen,2017-08-28,85,2702,39.99,,
4591,港詭實錄ParanormalHK,2020-01-06,85,2701,10.79,,
4592,Shelter 2,2015-03-09,85,2642,14.99,,
4593,Seek Girl,2019-03-14,85,2554,0.79,,
4594,Wargroove Game + Soundtrack,,85,2511,18.88,,
4595,Wargroove,2019-02-01,85,2508,16.99,,
4596,Project Hospital,2018-10-30,85,2367,24.99,,
4597,Shadowrun: Hong Kong - Extended Edition,2015-08-20,85,2297,19.99,4.99,75.0
4598,Hand Simulator: Survival,2019-12-17,85,2138,0.79,,
4599,Mass Production Bundle,,85,2139,26.07,,
4600,G2 Fighter / 基因特工,2018-10-12,85,2085,13.29,,
4601,F.E.A.R. 2: Project Origin,2009-02-12,85,2096,14.99,,
4602,DARK SOULS™ III - The Ringed City™,2017-03-27,85,2040,14.99,,
4603,Bladed Fury,2018-12-17,85,2012,8.19,,
4604,Bulletstorm: Full Clip Edition Duke Nukem Bundle,,85,2008,37.78,,
4605,rFactor 2,2015-11-12,85,1955,29.99,,
4606,Bulletstorm: Full Clip Edition,2017-04-07,85,1948,36.99,,
4607,MUSYNX,2018-12-04,85,1942,3.29,,
4608,Fairy Fencer F: Advent Dark Force Complete Deluxe Set | コンプリートデラックスエディション | 完全豪華組合包,,85,1876,26.73,,
4609,Fairy Fencer F: Advent Dark Force Deluxe Bundle | デラックスエディション | 豪華組合包,,85,1851,18.22,,
4610,Borderless Gaming,2015-07-23,85,1815,3.99,,
4611,Fairy Fencer F: Advent Dark Force DLC Bundle | コンプリートエディション | 完全組合包,,85,1851,21.34,,
4612,Raw Data,2017-10-05,85,1829,36.99,,
4613,Fairy Fencer F Advent Dark Force,2017-02-14,85,1826,16.79,,
4614,Forward to the Sky,2015-01-29,85,1583,7.99,,
4615,X3: Terran Conflict,2008-10-16,85,1538,15.99,,
4616,Sakura Angels,2015-01-16,85,1517,9.99,,
4617,BADLAND: Game of the Year Edition,2015-05-26,85,1509,9.99,,
4618,Gal*Gun: Double Peace,2016-09-27,85,1437,36.99,,
4619,Seek Girl Ⅲ,2019-12-05,85,1433,0.79,,
4620,Duel,,85,1465,41.53,,
4621,CASE: Animatronics,2016-08-03,85,1432,8.99,0.89,90.0
4622,Teslagrad,2013-12-13,85,1400,9.99,,
4623,Happy Room,2016-12-19,85,1391,4.99,,
4624,HALF DEAD 2,2019-08-02,85,1321,4.99,,
4625,Reflex Arena,2017-03-08,85,1290,9.99,,
4626,Tom Clancy's Splinter Cell®,2008-04-01,85,1251,4.99,,
4627,Tower of Time,2018-04-12,85,1220,20.95,,
4628,GemCraft - Frostborn Wrath,2020-01-10,85,1230,11.59,,
4629,Another World – 20th Anniversary Edition,2013-04-04,85,1165,9.99,,
4630,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,2014-12-16,85,1069,14.99,,
4631,Serious Sam VR: The Last Hope,2017-09-20,85,1053,36.99,,
4632,Europa Universalis III Complete,2009-02-04,85,1068,14.99,3.74,75.0
4633,Crazy Taxi,2011-03-04,85,1054,7.99,,
4634,World of Tanks Blitz - Mega Pack,2019-06-18,85,1046,8.19,,
4635,Rock 'N' Roll Defense,2016-08-10,85,1012,0.79,,
4636,Prince of Persia: Warrior Within™,2008-11-21,85,952,9.99,,
4637,Devil Slayer - Raksasi,2019-11-12,85,954,8.19,,
4638,60 Parsecs!,2018-09-18,85,921,9.99,,
4639,Rebuild 3: Gangs of Deadsville,2015-05-29,85,931,11.99,,
4640,Not Tonight: Take Back Control Edition,,85,910,25.47,,
4641,Not Tonight,2018-08-17,85,891,16.79,,
4642,Eastside Hockey Manager,2015-12-01,85,882,19.99,,
4643,Brothers in Arms: Road to Hill 30™,2008-05-13,85,878,4.99,,
4644,Sunrider Academy,2015-04-15,85,863,9.99,,
4645,Atlantic Fleet,2016-02-25,85,863,9.99,,
4646,The Impossible Game,2014-05-08,85,861,4.99,,
4647,Field of Glory Masters Edition,,85,816,46.48,,
4648,Timespinner,2018-09-25,85,802,19.99,,
4649,"Warhammer 40,000: Sanctus Reach - Complete Edition",,85,789,55.64,,
4650,Once in Yaissor Bundle,,85,782,1.78,1.13,37.0
4651,KartKraft™,2018-11-01,85,785,17.99,,
4652,Syberia II,2011-05-19,85,777,12.99,,
4653,Grim Dawn - Forgotten Gods Expansion,2019-03-27,85,784,15.0,,
4654,realMyst: Masterpiece Edition,2014-02-05,85,716,15.99,,
4655,Reigns: Her Majesty,2017-12-06,85,723,2.99,,
4656,Minoria,2019-08-27,85,720,16.79,,
4657,Ultimate Arena,2016-08-22,85,723,3.99,,
4658,High Hell,2017-10-23,85,717,8.19,,
4659,Penny Arcade's On the Rain-Slick Precipice of Darkness 3 and 4 Bundle,,85,707,2.39,,
4660,J.U.L.I.A.: Among the Stars,2014-09-12,85,706,16.79,,
4661,Duck Season,2017-09-14,85,697,19.99,,
4662,Dreamfall: The Longest Journey,2007-01-12,85,695,19.99,,
4663,Total War: THREE KINGDOMS - Yellow Turban Rebellion,2019-05-23,85,685,8.99,,
4664,Strike Vector EX,2017-07-19,85,660,11.99,,
4665,红石遗迹 - Red Obsidian Remnant,2017-09-04,85,627,8.99,,
4666,Wayward,2016-04-22,85,628,7.99,,
4667,Egypt: Old Kingdom,2018-05-24,85,600,14.99,,
4668,Final Exam,2013-11-05,85,583,9.99,,
4669,Cities: Skylines - After Dark,2015-09-24,85,577,14.99,7.49,50.0
4670,Tangledeep,2018-02-01,85,561,12.49,,
4671,StarCrawlers,2017-05-23,85,569,19.99,,
4672,Beast Battle Simulator,2018-02-22,85,541,9.99,,
4673,"Just Cause™ 3 DLC: Air, Land &amp; Sea Expansion Pass",2015-11-30,85,536,14.99,,
4674,Ring Runner: Flight of the Sages,2013-11-18,85,525,4.99,,
4675,Weed Shop 2,2017-03-30,85,511,8.19,,
4676,The Coma: Recut - Deluxe Edition,,85,491,20.44,,
4677,Full Mojo Rampage,2014-05-08,85,488,11.99,,
4678,The Coma: Recut,2017-09-22,85,485,11.99,,
4679,Love wish,2020-01-13,85,470,0.79,,
4680,2064: Read Only Memories,2015-10-05,85,466,16.0,,
4681,Hate Plus,2013-08-19,85,446,9.99,,
4682,Signal Simulator,2018-04-29,85,445,16.0,,
4683,WRG games bundle,,85,449,3.16,,
4684,Maize,2016-12-01,85,445,19.99,,
4685,DARIUSBURST Chronicle Saviours,2015-12-03,85,435,45.99,,
4686,Brothers in Arms: Earned in Blood™,2008-10-10,85,436,4.99,,
4687,openCanvas 6,,85,421,45.99,,
4688,FPS Monitor – hardware in-game &amp; desktop overlays,2018-11-09,85,419,9.99,,
4689,Space Engineers - Decorative Pack,2019-04-08,85,413,3.29,,
4690,Gift Girl,2020-03-13,85,421,1.59,0.95,40.0
4691,Battlezone: Combat Commander,2018-03-01,85,404,19.99,,
4692,CrossCells,2017-05-26,85,407,2.99,,
4693,Capcom Beat 'Em Up Bundle / カプコン ベルトアクション コレクション,2018-10-10,85,396,19.99,,
4694,Metaverse Keeper / 元能失控,2019-04-10,85,398,12.49,,
4695,Cold Fear™,2008-05-13,85,394,4.99,,
4696,Warriors: Rise to Glory!,2018-02-02,85,393,9.99,,
4697,Gloom,2017-04-13,85,377,9.99,,
4698,Astrox: Hostile Space Excavation,2015-11-30,85,357,8.19,,
4699,AUDICA - Game + Season Pass,,85,354,41.14,,
4700,AUDICA: Rhythm Shooter,2019-11-05,85,353,27.43,,
4701,Crusader Kings II: The Reaper's Due Collection,2016-08-25,85,344,13.99,6.99,50.0
4702,Voxel Turf,2017-09-13,85,348,7.99,,
4703,Skautfold: Shrouded in Sanity,2016-05-27,85,340,4.99,,
4704,Nancy Drew®: Classic Bundle,,85,341,27.85,,
4705,Turbo Pug DX,2016-09-26,85,336,0.99,,
4706,Coffee Shop Tycoon,2016-12-05,85,333,6.59,,
4707,Marvellous Journeys Bundle,,85,332,26.56,,
4708,女巫与六便士 the sibyl and sixpence,2018-12-31,85,326,0.79,,
4709,SHOGUN: Total War™ - Collection,2015-06-25,85,319,9.99,,
4710,"Please, Don't Touch Anything 3D",2016-12-07,85,311,8.19,,
4711,Sophie's Curse,2016-03-16,85,312,3.99,,
4712,Clatter,2018-12-10,85,307,8.19,,
4713,Gnomes Garden ultimate time manager bundle with trading cards,,85,305,16.16,,
4714,Dandara: Trials of Fear Edition,2018-02-06,85,306,14.99,,
4715,Masochisia,2015-10-09,85,301,7.99,,
4716,Spear of Destiny,2007-08-03,85,289,2.99,,
4717,Octogeddon,2018-02-08,85,281,6.88,,
4718,Zombie Shooter,2009-05-27,85,281,3.99,,
4719,Rytmik Ultimate Expansions,,85,272,36.96,29.03,21.0
4720,Fire,2015-04-09,85,264,9.99,1.99,80.0
4721,Vampire's Fall: Origins,2020-01-31,85,258,9.99,,
4722,Death Live,2019-09-12,85,256,0.79,,
4723,Bionic Dues,2013-10-08,85,260,9.99,2.49,75.0
4724,LEGO® The Incredibles,2018-06-15,85,246,39.99,,
4725,Zero Punctuation: Hatfall - Hatters Gonna Hat Edition,2015-11-20,85,243,4.99,,
4726,Eador: Genesis,2013-10-14,85,238,4.99,,
4727,Tomb Raider: Outfit Pack,,85,238,1.59,,
4728,Reflex,2017-11-23,85,237,0.99,,
4729,Glittermitten Grove,2016-12-13,85,229,19.99,,
4730,Runaway: A Twist of Fate,2011-04-21,85,227,9.99,,
4731,Hollow Knight - Gods &amp; Nightmares,2018-08-09,85,222,3.99,,
4732,Pumpkin Days,2019-07-31,85,220,12.49,,
4733,Total War: ATTILA - Empires of Sand Culture Pack,2015-09-15,85,221,8.99,,
4734,Nancy Drew®: Mystery Bundle,,85,223,35.59,,
4735,DCS: Flaming Cliffs 3,2014-01-24,85,220,47.71,23.85,50.0
4736,Arsenal of Democracy: A Hearts of Iron Game,2010-02-23,85,218,9.99,2.49,75.0
4737,Delta Force 2,2009-06-18,85,220,4.99,,
4738,Carmageddon 2: Carpocalypse Now,2014-09-19,85,217,7.99,1.59,80.0
4739,Tom Clancy's Rainbow Six® Siege - Topaz Weapon Skin,2016-04-12,85,211,2.99,,
4740,VR: Vacate the Room (Virtual Reality Escape),2016-07-15,85,213,3.99,,
4741,Papercraft：Game Bundle,,85,208,15.44,,
4742,Guards,2016-08-19,85,210,4.99,1.24,75.0
4743,Last Day of Work Complete Pack,2008-05-28,85,200,29.99,,
4744,Solitairica,2016-05-31,85,202,9.99,,
4745,MXGP 2019 - The Official Motocross Videogame,2019-08-27,85,199,49.99,,
4746,Scavenger SV-4,2018-01-31,85,197,14.99,7.49,50.0
4747,UnHolY DisAsTeR,2018-07-13,85,199,10.79,,
4748,Etherlords II,2014-02-13,85,200,4.99,,
4749,Couch Competitive Collection,,85,184,63.65,27.8,56.0
4750,Our world has not decayed,2019-10-25,85,181,1.59,,
4751,Surviving Mars: Green Planet Plus,,85,179,25.98,16.01,38.0
4752,Windlands 2,2018-11-15,85,179,24.99,,
4753,The Endless Journey,2018-01-18,85,178,9.99,,
4754,Indie Pogo,2018-07-10,85,173,12.49,,
4755,The Story of Henry Bishop,2019-11-07,85,173,3.99,,
4756,Dominique Pamplemousse,2014-03-11,85,169,0.99,,
4757,Euro Truck Simulator 2 - Force of Nature Paint Jobs Pack,2014-04-04,85,168,1.99,,
4758,咕啾！文鸟恋爱物语 Love Story of Sparrow,2019-02-01,85,163,0.79,,
4759,Showdown Bandit,2019-09-17,85,163,0.0,,100.0
4760,MidBoss,2017-05-25,85,160,14.99,,
4761,Don't open the doors!,2016-11-11,85,160,10.99,,
4762,Avoid - Sensory Overload,2014-04-08,85,156,4.99,0.99,80.0
4763,Secret Files: Tunguska,2009-10-29,85,156,9.99,,
4764,AppGameKit Classic: Easy Game Development,2014-11-21,85,147,,,
4765,Tilesweeper,2018-08-23,85,146,3.99,,
4766,Pinball FX3 - Williams™ Pinball: Season 1 Bundle,,85,144,26.2,,
4767,We Happy Few - Season Pass,2019-04-04,85,142,24.99,,
4768,Unknightly,2017-11-30,85,140,16.79,,
4769,Marble Skies,2019-07-04,85,137,8.99,,
4770,ZBOT,2015-09-01,85,132,11.99,,
4771,Fantasy Wars,2010-08-05,85,128,4.99,,
4772,Floor Kids,2018-05-16,85,129,19.9,,
4773,Planet R-12,2016-05-05,85,128,0.79,,
4774,Brink of Consciousness: Dorian Gray Syndrome Collector's Edition,2014-07-18,85,125,9.99,,
4775,Tomato Jones,2016-07-11,85,124,1.99,1.33,33.0
4776,Knytt Underground,2013-10-25,85,121,5.99,,
4777,Endless Legend™ - Tempest,2016-10-14,85,122,12.99,,
4778,123 Slaughter Me Street,2015-09-25,85,122,3.99,,
4779,Tomboys Need Love Too!,2017-05-12,85,117,9.99,,
4780,TerraTech: R&amp;D Labs,2015-02-06,85,113,9.99,,
4781,Shuffle!,2016-11-22,85,111,19.99,,
4782,Titanic: Adventure Out Of Time,2018-04-26,85,109,4.99,,
4783,Lemma,2015-05-12,85,109,14.99,,
4784,Mushroom 11,2015-10-15,85,109,14.99,,
4785,Cities: Skylines - Content Creator Pack: European Suburbia,2017-10-19,85,108,4.99,2.49,50.0
4786,Don't Make Love,2017-10-26,85,106,3.99,1.99,50.0
4787,Demon's Rise - Lords of Chaos,2018-04-24,85,108,5.69,,
4788,Sniper Ghost Warrior 2: Siberian Strike,2013-03-26,85,104,9.99,,
4789,ArtPose Pro,2018-03-08,85,101,9.99,,
4790,DRAGON BALL XENOVERSE 2 - Super Pack 4,2017-06-27,85,98,7.99,,
4791,Vampyr - The Hunters Heirlooms DLC,2018-06-04,85,97,2.99,,
4792,Machina of the Planet Tree -Planet Ruler-,2015-07-28,85,96,12.99,6.49,50.0
4793,Dungeon Escape VR,2017-04-07,85,94,4.99,,
4794,3DMark Port Royal upgrade,2019-01-08,85,90,2.49,,
4795,Just Cause 2: Black Market Aerial Pack DLC,2010-04-29,85,90,1.99,,
4796,Pillars of Eternity - The White March Part II,2016-02-16,85,88,14.99,7.49,50.0
4797,Just Ski - a physics game by Jeff Weber,2018-02-07,85,88,2.99,,
4798,OMSI 2 Add-On Urbino Stadtbusfamilie,2019-02-07,85,85,15.95,10.68,33.0
4799,Tomb Raider: Aviatrix Skin,2013-03-26,85,83,0.79,,
4800,Saints Row IV: Season Pass,2013-08-19,85,81,4.99,,
4801,Infected Shelter,2019-11-11,85,78,9.99,,
4802,How to Take Off Your Mask Deluxe,,85,78,13.48,,
4803,DCS: Black Shark 2,2013-08-02,85,77,47.71,23.85,50.0
4804,How to Take Off Your Mask,2015-07-10,85,77,11.99,,
4805,Axes and Acres,2016-04-07,85,77,9.99,4.99,50.0
4806,Great eSports Manager,2017-08-16,85,77,9.99,,
4807,LEGO Batman 3: Beyond Gotham Season Pass,2014-11-11,85,75,14.99,,
4808,The Slaughter: Act One,2016-01-28,85,74,5.99,,
4809,Jake's Love Story,2017-10-05,85,74,4.99,,
4810,Nancy Drew®: The Captive Curse,2011-07-25,85,71,5.69,,
4811,The Order of the Thorne - The King's Challenge,2016-01-26,85,69,9.99,,
4812,Hand of Fate : Wildcards,2015-04-17,85,68,4.99,2.49,50.0
4813,Train Simulator: Hamburg-Hanover Route Add-On,2013-07-24,85,68,19.99,,
4814,Lucid Trips,2017-01-12,85,68,7.09,,
4815,President Trump The Way In Uganda,2018-02-06,85,68,0.99,,
4816,Hunt: Showdown - Last Gust,2019-10-17,85,67,3.99,,
4817,Ancestors Legacy - Saladin's Conquest,2019-05-21,85,64,9.99,,
4818,Alicia Quatermain: Secrets Of The Lost Treasures,2017-09-01,85,64,2.99,,
4819,Bloodstained: Ritual of the Night - Soundtrack,2019-06-18,85,63,9.99,,
4820,Sakura MMO 2,2019-01-25,85,63,8.19,,
4821,Demon's Rise - War for the Deep,2018-04-29,85,62,5.69,,
4822,Conduct DELUXE!,2017-12-05,85,62,9.99,,
4823,FreeHolder,2016-07-05,85,60,8.19,4.09,50.0
4824,Nancy Drew®: The Haunted Carousel,2009-10-10,85,57,5.69,,
4825,The Monsters' History Book,2018-06-27,85,57,3.29,,
4826,Paladins - Champions Pack,2018-04-26,85,56,29.99,,
4827,Zombie Derby 2,2018-01-25,85,56,3.99,,
4828,Civilization V - Civ and Scenario Double Pack: Spain and Inca,2010-12-16,85,55,4.99,,
4829,Anode,2015-10-05,85,55,3.59,,
4830,Just Cause 2: Agency Hovercraft,2010-06-22,85,55,0.99,,
4831,YOU DON'T KNOW JACK Vol. 4 The Ride,2013-11-05,85,54,2.99,,
4832,Western 1849 Reloaded,2017-02-10,85,54,3.29,,
4833,Far Cry Bundle,,84,112411,134.94,39.54,71.0
4834,Metro Franchise Bundle,,84,87689,99.71,,
4835,Stellaris,2016-05-09,84,56042,39.99,9.99,75.0
4836,Europa Universalis IV: Collection,,84,54979,279.58,115.47,59.0
4837,Assassin's Creed® Origins,2017-10-26,84,44551,59.99,,
4838,Resident Evil 4/5/6,,84,44312,60.17,,
4839,Total War: THREE KINGDOMS,2019-05-23,84,36631,59.99,,
4840,Endless Universe Collection,,84,36351,178.2,,
4841,Sniper Elite Complete Pack,,84,34089,116.55,,
4842,Metro: Last Light Redux,2014-08-27,84,30818,19.99,,
4843,Rising Storm Franchise Bundle,,84,25127,30.12,,
4844,The Tropico Bundle,,84,25187,171.31,,
4845,Rising Storm 2: Vietnam - Digital Deluxe Edition,2017-05-30,84,24047,27.99,,
4846,Rising Storm 2: Vietnam,2017-05-30,84,23961,22.99,,
4847,They Are Billions,2019-06-18,84,23644,29.99,,
4848,Dishonored: Death of the Outsider - Deluxe Bundle,2017-09-14,84,22389,59.99,,
4849,F1 Game Franchise Bundle,,84,21657,195.21,,
4850,Remnant: From the Ashes,2019-08-19,84,20944,39.99,,
4851,Dishonored 2,2016-11-11,84,18722,39.99,,
4852,Worms Collection,,84,16696,167.78,,
4853,Day of Infamy,2017-03-23,84,15940,12.49,,
4854,Ryse: Son of Rome,2014-10-10,84,15819,9.99,,
4855,Blackwake,2020-02-19,84,13293,8.19,,
4856,Endless Legend™ Collection,,84,12038,98.91,,
4857,FEAR Complete Pack,2012-07-12,84,11546,54.99,,
4858,Endless Legend™ - Starter Pack,,84,11663,40.46,,
4859,Homeworld Remastered Collection and Deserts of Kharak Bundle,,84,10734,58.48,,
4860,Call of Duty - Black Ops II Bundle,,84,10937,99.99,32.99,67.0
4861,Hell Let Loose,2019-06-06,84,10917,29.99,,
4862,Hello Secret Neighbor,,84,7377,40.3,,
4863,Assassin's Creed® Revelations,2011-11-29,84,7491,14.99,,
4864,The Sunless Sea + Skies Bundle,,84,7007,41.98,,
4865,The Ultimate FMV Bundle,,84,6911,38.2,,
4866,Call of Duty®: Modern Warfare® 3,2011-11-08,84,6501,39.99,19.59,51.0
4867,Command &amp; Conquer: Red Alert 3,2009-01-08,84,6324,19.99,,
4868,Crysis 2 - Maximum Edition,2011-03-22,84,6039,29.99,,
4869,Evoland Collector Pack,,84,5849,22.48,,
4870,ONEONE1 Bundle,,84,5938,10.5,,
4871,Sunless Sea + Zubmariner bundle,,84,5855,29.98,,
4872,SUNLESS SEA,2015-02-06,84,5762,18.99,,
4873,A Bird Story,2014-11-07,84,5383,3.99,,
4874,Tales of Zestiria,2015-10-19,84,5356,49.99,,
4875,Resident Evil Revelations  - Complete Pack,,84,4604,39.99,,
4876,Sword With Sauce,2018-03-20,84,4636,2.39,,
4877,Arizona Sunshine,2016-12-06,84,4600,39.99,,
4878,Foundation,2019-02-01,84,4494,29.99,,
4879,King's Bounty: Ultimate Edition,,84,4059,34.99,,
4880,King's Bounty: Complete Your Set,,84,4059,52.63,,
4881,Doom 3: BFG Edition,2012-10-18,84,4023,19.99,,
4882,OCTOPATH TRAVELER™,2019-06-07,84,3915,59.99,,
4883,Magic 2014 — Duels of the Planeswalkers,2013-06-26,84,3623,9.99,,
4884,Worms Revolution Gold Edition,,84,3480,22.99,,
4885,Worms Revolution,2012-10-10,84,3460,14.99,,
4886,HunieCam Studio,2016-04-04,84,3429,6.99,,
4887,Dead Age,2016-11-04,84,3432,14.99,,
4888,Broken Sword: Complete Pack,,84,3423,30.05,,
4889,Knights of Pen and Paper and Galaxy of Pen and Paper Bundle,,84,3137,30.47,15.27,50.0
4890,SPORE™ Galactic Adventures,2009-06-23,84,3110,19.99,,
4891,Yu-Gi-Oh! Legacy of the Duelist,2016-12-07,84,2987,19.99,,
4892,Seek Girl Bundle,,84,2712,1.42,,
4893,The Council - Complete Season,2018-03-13,84,2678,24.99,,
4894,Neverwinter Nights: Enhanced Edition,2018-03-27,84,2657,15.99,7.99,50.0
4895,Tank Mechanic Simulator,2020-02-20,84,2669,16.79,,
4896,WARRIORS OROCHI 4 Ultimate Deluxe Edition,,84,2610,79.99,,
4897,WARRIORS OROCHI 4 Ultimate,,84,2593,69.99,,
4898,FlatOut: Ultimate Carnage,2008-08-19,84,2484,18.99,,
4899,Mega Man Legacy Collection 1 &amp; 2 Combo Pack,,84,2460,24.88,,
4900,Zombie Driver HD Complete Edition,,84,2339,14.99,,
4901,Project Highrise,,84,2321,31.08,,
4902,Project Highrise,2016-09-08,84,2250,19.99,,
4903,Police Stories - Supporter Bundle,,84,2220,20.86,,
4904,Police Stories,2019-09-19,84,2211,14.99,,
4905,Worms Reloaded: Game of the Year Edition,2012-03-15,84,2205,22.99,,
4906,Grid-based Crawling Bundle,,84,2179,89.94,63.69,29.0
4907,Cold Waters,2017-06-05,84,2191,36.99,,
4908,Worms Reloaded,2010-08-26,84,2167,19.99,,
4909,Fallout 4 Far Harbor,2016-05-18,84,2101,24.99,,
4910,DEFCON + Soundtrack,2012-04-24,84,2051,10.79,,
4911,DEFCON,2006-09-29,84,2040,8.19,,
4912,Quake Live™,2014-09-17,84,2035,9.99,,
4913,Broken Sword Trilogy,2010-10-19,84,1996,9.99,,
4914,NEOVERSE,2020-02-18,84,2013,16.79,10.07,40.0
4915,Valdis Story: Abyssal City,2013-10-30,84,1997,14.99,,
4916,Street Legal Racing: Redline v2.3.1,2016-08-05,84,1906,4.99,,
4917,Knights and Merchants,2013-10-14,84,1619,6.99,,
4918,Riff Racer - Race Your Music!,2016-05-12,84,1586,7.99,1.19,85.0
4919,Knights of Pen and Paper +1 Edition,2013-06-18,84,1565,9.99,2.49,75.0
4920,Knights of Pen and Paper +1 Edition,2013-06-18,84,1565,9.99,2.49,75.0
4921,SAO Utils: Beta,2018-03-14,84,1531,2.99,,
4922,Volgarr the Viking,2013-09-13,84,1423,9.99,,
4923,Dead by Daylight - Leatherface™,2017-09-14,84,1287,4.99,,
4924,SUNLESS SKIES,2019-01-31,84,1245,22.99,,
4925,Reveal The Deep,2015-12-04,84,1258,0.99,,
4926,Seek Girl Ⅱ,2019-09-30,84,1227,0.79,,
4927,Hitman: Contracts,2014-01-21,84,1232,8.99,,
4928,Hover,2017-05-31,84,1210,19.99,,
4929,FINAL FANTASY IV,2014-09-17,84,1140,14.49,,
4930,Europa Universalis III Collection,,84,1136,55.88,21.71,61.0
4931,Hitman GO: Definitive Edition,2016-02-23,84,1133,7.99,,
4932,Angry Demon Ultimate Bundle,,84,1107,45.96,31.28,32.0
4933,Norse Horror Bundle,,84,1104,34.98,22.48,36.0
4934,Red Orchestra: Ostfront 41-45,2006-03-14,84,1087,3.99,,
4935,heBlu,2016-04-05,84,1073,9.99,,
4936,Quake IV,2011-08-04,84,1069,14.99,,
4937,Terrorhedron Tower Defense,2014-07-24,84,975,0.99,,
4938,RimWorld - Royalty,2020-02-24,84,982,16.79,,
4939,Faeria,2017-03-08,84,957,19.99,7.99,60.0
4940,Crisis in the Kremlin,2017-03-20,84,931,4.99,,
4941,Super Seducer : How to Talk to Girls,2018-03-06,84,928,12.99,,
4942,FEMINAZI: The Triggering,2017-02-20,84,926,0.79,,
4943,LEGIONCRAFT,2019-11-01,84,866,10.79,,
4944,Silence,2016-11-15,84,814,19.99,,
4945,Ice Lakes,2016-04-19,84,799,14.99,,
4946,SPORE™ Creepy &amp; Cute Parts Pack,2008-12-19,84,780,19.99,,
4947,State of Anarchy,2016-04-27,84,769,0.99,,
4948,Suicide Guy,2017-07-14,84,764,4.99,,
4949,Swords and Sandals Decalogue,,84,756,20.05,,
4950,Swords and Sandals Anthology 2006-2019,,84,747,17.75,,
4951,Sins Of The Demon RPG,2016-05-13,84,729,0.9,0.39,57.0
4952,GearCity,2014-05-30,84,724,18.99,,
4953,Druidstone: The Secret of the Menhir Forest,2019-05-15,84,724,20.99,,
4954,Clue/Cluedo: Complete Collection,,84,704,42.28,,
4955,Clue/Cluedo: The Classic Mystery Game,2018-05-17,84,693,11.99,,
4956,Between the Stars,2019-05-28,84,697,22.99,,
4957,CRYPTARK,2017-06-20,84,693,14.99,,
4958,Fight of Gods,2019-03-28,84,670,12.99,,
4959,Cities: Skylines - Mass Transit,2017-05-18,84,672,12.99,6.49,50.0
4960,Renegade Ops Collection,,84,656,16.99,,
4961,Apollo 11 VR &amp; Apollo 11 VR HD,,84,665,9.83,,
4962,Blacksad: Under the Skin,2019-11-14,84,618,39.99,19.99,50.0
4963,Q.U.B.E: Director's Cut,2014-05-21,84,615,7.99,,
